logT: 3.22,,1660,,,,,,,,,,,,,,,
logP,P_GPa,P_bar,XH2,XH,log_rho,rho,Vm,log_S,log_U,dlogrho_dlogT_P,dlogrho_dlogP_T,dlogS_dlogT_P,dlogS_dlogP_T,dlogT_dlogP_S,Z,Int,phi
8,0.01,100,0.99999,9.96141E-06,-2.8395,0.001447105,1393.126418,8.8873,11.2554,-0.9887,0.9907,0.2135,-0.0534,0.25,1.009907078,0.009907078,1.009956315
8.2,0.015848932,158.4893192,0.999992,7.96024E-06,-2.6418,0.002281392,883.6708475,8.8765,11.2556,-0.9822,0.9854,0.2188,-0.0546,0.2498,1.015269678,0.015269678,1.015386856
8.4,0.025118864,251.1886432,0.999994,6.34139E-06,-2.4455,0.003585089,562.3290603,8.8654,11.2559,-0.9721,0.9771,0.2243,-0.056,0.2494,1.023956285,0.023956285,1.024245542
8.6,0.039810717,398.1071706,0.999995,5.0601E-06,-2.2513,0.005606606,359.57586,8.8541,11.2564,-0.9566,0.9645,0.2301,-0.0573,0.2488,1.037722937,0.037722937,1.038443478
8.8,0.063095734,630.9573445,0.999996,0.000004048,-2.0602,0.008705626,231.5743895,8.8425,11.2572,-0.9331,0.9455,0.2362,-0.0586,0.2479,1.059208399,0.059208399,1.060996329
9,0.1,1000,0.999997,3.25079E-06,-1.8737,0.013375191,150.7268169,8.8307,11.2585,-0.8986,0.9177,0.2425,-0.0598,0.2466,1.09265087,0.09265087,1.097078646
9.2,0.158489319,1584.893192,0.999997,2.62219E-06,-1.6938,0.02023951,99.60715314,8.8186,11.2605,-0.8499,0.8788,0.249,-0.0609,0.2446,1.144409399,0.144409399,1.155357014
9.4,0.251188643,2511.886432,0.999998,2.14074E-06,-1.523,0.029991625,67.21876481,8.8063,11.2636,-0.7842,0.8269,0.2556,-0.0618,0.2418,1.223999995,0.223999995,1.251071013
9.6,0.398107171,3981.071706,0.999999,1.40559E-06,-1.3637,0.04328127,46.57903939,8.7939,11.2685,-0.7022,0.7639,0.2624,-0.0626,0.2383,1.344254243,0.344254243,1.410937311
9.8,0.630957344,6309.573445,0.999998,1.40366E-06,-1.2179,0.060548028,33.29588231,8.7813,11.2762,-0.6082,0.6934,0.2696,-0.0632,0.2345,1.522935169,0.522935169,1.686971938
10,1,10000,0.999997,9.32307E-07,-1.0864,0.081959632,24.597475,8.7686,11.2881,-0.5097,0.6218,0.2772,-0.0638,0.2302,1.783123468,0.783123468,2.188296677
10.2,1.584893192,15848.93192,1,0,-0.9689,0.107423674,18.76681305,8.7558,11.3048,-0.4131,0.5553,0.2852,-0.0644,0.2259,2.15616214,1.15616214,3.17771422
10.4,2.511886432,25118.86432,1,0,-0.8636,0.136898913,14.72619435,8.7428,11.3291,-0.3269,0.499,0.2941,-0.0654,0.2223,2.681522318,1.681522318,5.373730276
10.6,3.981071706,39810.71706,1,0,-0.7686,0.170372698,11.83288184,8.7296,11.3644,-0.2533,0.4531,0.3042,-0.0667,0.2193,3.414926934,2.414926934,11.1889528
10.8,6.309573445,63095.73445,0.999979,0,-0.6817,0.208113379,9.687027392,8.7161,11.4123,-0.1929,0.4182,0.3154,-0.0682,0.2162,4.430792541,3.430792541,30.90112346
11,10,100000,0.999999,1.1447E-06,-0.6004,0.250957396,8.033236036,8.7024,11.4732,-0.1462,0.3961,0.3277,-0.0696,0.2123,5.82346428,4.82346428,124.3952853
11.2,15.84893192,158489.3192,1,0,-0.5226,0.300192612,6.715688254,8.6883,11.5467,-0.1112,0.3837,0.341,-0.0715,0.2097,7.715808068,6.715808068,825.3504366
11.4,25.11886432,251188.6432,0.999805,0,-0.4465,0.357684401,5.636253627,8.6737,11.6329,-0.0855,0.3776,0.3551,-0.0746,0.21,10.26316748,9.263167478,10542.47357